model,n_samples_full_train,n_groups,cv_splits,azimuth_mae_deg_mean,azimuth_mae_deg_std,inclination_mae_deg_mean,inclination_mae_deg_std,distance_mae_m_mean,distance_mae_m_std,direction_mae_deg_mean,direction_mae_deg_std
ExtraTrees,4800,40,5,25.772262276915665,5.040539387592333,0.6620250000000005,0.6134423113826849,0.7930666666666667,0.10216576997125523,13.217143638457836,2.3964040618339566
KNN,4800,40,5,26.14624508592258,5.512307944329245,1.0204717525989992,1.2356295463889004,0.7311851639100923,0.12182551260538454,13.583358419260787,2.7411746181783645
RandomForest,4800,40,5,25.017226506473925,7.088640989522424,2.594315625000001,1.5050850314823379,0.7621391666666668,0.08886149146635453,13.805771065736963,4.129194520609978
HistGBR_MultiOutput,4800,40,5,24.68290917558712,4.069228789562522,3.308179574505283,1.686088626785397,0.6564111080259354,0.09846096315104731,13.995544375046205,2.548149831847151
MLP,4800,40,5,26.781677762290826,6.372748176263342,2.4046179842237176,1.0789206554923438,0.582741032014715,0.0719190499592063,14.593147873257271,3.275723698364865
